predicted,targets,R_mean,R_min,R_max
0.0,0.0,0.08858668804168701,0.05232028290629387,0.12435844540596008
1.0,1.0,0.21271690726280212,0.16836945712566376,0.2567214071750641
2.0,8.0,0.2467091828584671,0.17728908360004425,0.3157048523426056
5.0,5.0,0.4430410861968994,0.37165898084640503,0.5125865340232849
7.0,9.0,0.5264700055122375,0.45810604095458984,0.5962355732917786
2.0,2.0,0.0992707908153534,0.04861268028616905,0.1486016809940338
2.0,2.0,0.2834581136703491,0.2509230077266693,0.31488755345344543
6.0,6.0,0.05488135293126106,0.036945171654224396,0.07396058738231659
2.0,2.0,0.4299600124359131,0.37893861532211304,0.4814005196094513
6.0,6.0,0.5430264472961426,0.4887511432170868,0.5950456857681274
7.0,9.0,0.22025299072265625,0.2029443234205246,0.23735953867435455
6.0,8.0,0.47376370429992676,0.3915180563926697,0.5541709661483765
8.0,8.0,0.7504943013191223,0.7243719100952148,0.7769858241081238
3.0,1.0,0.4986662268638611,0.46115997433662415,0.5376741290092468
2.0,2.0,0.19629301130771637,0.1439274400472641,0.2487534135580063
7.0,7.0,0.1854363977909088,0.10894807428121567,0.258327454328537
1.0,1.0,0.49306297302246094,0.4526536762714386,0.5314980745315552
2.0,2.0,0.268014132976532,0.19901937246322632,0.3374525308609009
9.0,9.0,0.38010716438293457,0.32812079787254333,0.4355236887931824
1.0,1.0,0.22662253677845,0.17608250677585602,0.27693119645118713
4.0,4.0,0.1622239351272583,0.10627555102109909,0.21752603352069855
8.0,9.0,0.015416387468576431,0.003872585715726018,0.026278259232640266
0.0,0.0,0.11435041576623917,0.04884374514222145,0.17808568477630615
2.0,2.0,0.07046174257993698,0.030190184712409973,0.10956870764493942
0.0,0.0,0.1275787502527237,0.045110709965229034,0.2079082429409027
2.0,7.0,0.6244778037071228,0.5689952969551086,0.6835443377494812
1.0,1.0,0.15540584921836853,0.10652396827936172,0.20721563696861267
2.0,2.0,0.13680963218212128,0.08757369965314865,0.18541467189788818
6.0,6.0,0.7528752088546753,0.7100147604942322,0.7969809770584106
5.0,5.0,0.2119697630405426,0.16706129908561707,0.2560473084449768
4.0,4.0,0.13348762691020966,0.09890283644199371,0.1665661484003067
4.0,4.0,0.8601481318473816,0.8421048521995544,0.8791390061378479
5.0,5.0,0.25715890526771545,0.16477499902248383,0.3544319272041321
7.0,7.0,0.04486766457557678,0.0009662433294579387,0.08641694486141205
6.0,8.0,0.16978991031646729,0.15905693173408508,0.18148456513881683
5.0,5.0,0.5452625155448914,0.48791247606277466,0.605925977230072
9.0,9.0,0.7513871192932129,0.7025255560874939,0.7970696091651917
2.0,2.0,0.22198350727558136,0.19894488155841827,0.24433930218219757
3.0,3.0,0.5209461450576782,0.49223634600639343,0.5496184229850769
6.0,6.0,0.6961163282394409,0.6784942746162415,0.7133637070655823
3.0,3.0,0.15129292011260986,0.08793448656797409,0.2136627435684204
6.0,6.0,0.14814110100269318,0.08728688955307007,0.20956163108348846
9.0,9.0,0.1982399821281433,0.15571866929531097,0.23999662697315216
0.0,0.0,0.5070005655288696,0.4597778618335724,0.5557392835617065
1.0,1.0,0.268195241689682,0.21861499547958374,0.31381815671920776
7.0,7.0,0.14985254406929016,0.06340251863002777,0.2322501838207245
4.0,4.0,0.48781609535217285,0.41448086500167847,0.5566649436950684
1.0,1.0,0.32138878107070923,0.3052304685115814,0.3379240930080414
4.0,4.0,0.8410857915878296,0.7832040786743164,0.9035971164703369
4.0,4.0,0.4406023919582367,0.35690736770629883,0.5231016874313354
7.0,7.0,0.9930304884910583,0.9570420980453491,1.029112696647644
