,predicted,targets,R_mean
0,0.0,0.0,0.43418685
1,1.0,1.0,0.29097492
2,2.0,8.0,0.45602027
3,5.0,5.0,0.20907605
4,7.0,9.0,0.32361916
5,2.0,2.0,0.10034371
6,2.0,2.0,0.0064964183
7,6.0,6.0,0.08084835
8,2.0,2.0,0.030978227
9,6.0,6.0,0.26546735
10,7.0,9.0,0.09983517
11,6.0,8.0,0.54843956
12,8.0,8.0,0.28300655
13,3.0,1.0,0.21477652
14,2.0,2.0,0.20839791
15,7.0,7.0,0.021712366
16,1.0,1.0,0.13744882
17,2.0,2.0,0.05041556
18,9.0,9.0,0.50354517
19,1.0,1.0,0.37977692
20,4.0,4.0,0.35973766
21,8.0,9.0,0.099727824
22,0.0,0.0,0.090468325
23,2.0,2.0,0.1097246
24,0.0,0.0,0.42135552
25,2.0,7.0,0.2515512
26,1.0,1.0,0.2907004
27,2.0,2.0,0.2049341
28,6.0,6.0,0.19091739
29,5.0,5.0,0.38056156
30,4.0,4.0,0.050768904
31,4.0,4.0,0.5457372
32,5.0,5.0,0.25893554
33,7.0,7.0,0.41008994
34,6.0,8.0,0.29883373
35,5.0,5.0,0.057858773
36,9.0,9.0,0.43006602
37,2.0,2.0,0.26479408
38,3.0,3.0,0.019989932
39,6.0,6.0,0.28974116
40,3.0,3.0,0.069086045
41,6.0,6.0,0.07929673
42,9.0,9.0,0.5074203
43,0.0,0.0,0.18173048
44,1.0,1.0,0.056322027
45,7.0,7.0,0.20461425
46,4.0,4.0,0.09429224
47,1.0,1.0,0.24941601
48,4.0,4.0,0.17207615
49,4.0,4.0,0.3142204
50,7.0,7.0,0.28017572
51,5.0,9.0,0.0009552835
52,1.0,1.0,0.06890382
53,3.0,1.0,0.14700536
54,4.0,4.0,0.1061546
55,7.0,7.0,0.51721454
56,5.0,5.0,0.07914421
57,7.0,7.0,0.1100487
58,5.0,8.0,0.21680795
59,1.0,0.0,0.12991321
60,9.0,9.0,0.28108177
61,7.0,7.0,0.20108157
62,2.0,2.0,1.1419117
63,0.0,0.0,0.040258206
64,6.0,6.0,0.18875268
65,6.0,6.0,0.24893473
66,0.0,0.0,0.12212853
67,3.0,3.0,0.23414168
68,5.0,5.0,0.04587995
69,6.0,4.0,0.4006042
70,6.0,6.0,0.28822923
71,5.0,5.0,0.057879664
72,1.0,1.0,0.04386025
73,5.0,5.0,0.05664579
74,3.0,3.0,0.28398132
75,0.0,0.0,0.00030788293
76,0.0,0.0,0.04660368
77,0.0,0.0,0.0996495
78,8.0,8.0,0.4460887
79,1.0,1.0,0.04001443
80,2.0,7.0,0.04294
81,3.0,3.0,0.15784104
82,7.0,7.0,0.11365984
83,0.0,0.0,0.27883688
84,5.0,5.0,0.18498443
85,2.0,2.0,0.20847397
86,1.0,1.0,0.3257157
87,0.0,0.0,0.010847654
88,5.0,5.0,0.049713105
89,2.0,2.0,0.19824955
90,5.0,5.0,0.1272976
91,6.0,6.0,0.25527638
92,5.0,5.0,0.06796801
93,5.0,5.0,0.27303025
94,1.0,9.0,0.12390793
95,0.0,0.0,0.08292452
96,4.0,4.0,0.12211622
97,0.0,0.0,0.059367057
98,3.0,8.0,0.38445407
99,2.0,2.0,0.054671362
100,2.0,8.0,0.397427
101,1.0,1.0,0.5673898
102,3.0,3.0,0.32628128
103,5.0,8.0,0.2199905
104,4.0,4.0,0.18494311
105,2.0,2.0,0.2568612
106,0.0,0.0,0.17766094
107,6.0,6.0,0.0986708
108,9.0,9.0,0.0441723
109,2.0,7.0,0.14765312
110,8.0,9.0,0.012054871
111,8.0,8.0,0.22229232
112,4.0,4.0,0.2775977
113,8.0,8.0,0.1871208
114,6.0,6.0,0.018818153
115,6.0,6.0,0.1813217
116,3.0,3.0,0.1844442
117,4.0,4.0,0.1614824
118,2.0,7.0,0.21398064
119,5.0,5.0,0.35053983
120,8.0,9.0,0.6097335
121,0.0,0.0,0.21983594
122,1.0,4.0,0.679117
123,2.0,5.0,0.08454729
124,4.0,4.0,0.16414371
125,3.0,3.0,0.05221674
126,3.0,5.0,0.28021124
127,1.0,1.0,0.41597345
128,7.0,7.0,0.33211228
129,6.0,6.0,0.42065737
130,7.0,7.0,0.08794065
131,0.0,0.0,0.16636194
132,5.0,5.0,0.1771949
133,5.0,5.0,0.3316456
134,6.0,6.0,0.11026885
135,9.0,9.0,0.30469003
136,1.0,1.0,0.0029855988
137,1.0,1.0,0.13066852
138,1.0,1.0,0.18339199
139,2.0,7.0,0.1889115
140,2.0,2.0,0.34454116
141,3.0,3.0,0.24629915
142,2.0,2.0,0.007403035
143,1.0,1.0,0.40117833
144,9.0,9.0,0.2706592
145,6.0,8.0,0.16087915
146,7.0,7.0,0.17541522
147,0.0,0.0,0.23573492
148,3.0,3.0,0.34989753
149,1.0,1.0,0.18836442
150,2.0,9.0,0.06288586
151,4.0,4.0,0.3464063
152,4.0,4.0,0.54651636
153,8.0,8.0,0.5754992
154,5.0,5.0,0.2968569
155,1.0,1.0,0.58567804
156,0.0,0.0,0.3324316
157,1.0,1.0,0.10107362
158,4.0,4.0,0.030847436
159,1.0,1.0,0.09615617
160,3.0,3.0,0.027971998
161,0.0,0.0,0.03387623
162,1.0,1.0,0.21100475
163,3.0,8.0,0.15977031
164,5.0,5.0,0.11362189
165,1.0,1.0,0.03979589
166,8.0,8.0,0.06705974
167,8.0,8.0,0.14672352
168,5.0,5.0,0.26688522
169,0.0,0.0,0.35953304
170,0.0,0.0,0.16379783
171,0.0,0.0,0.13323256
172,7.0,9.0,0.24169317
173,0.0,0.0,0.117751434
174,2.0,2.0,0.43573737
175,4.0,4.0,0.083432116
176,5.0,5.0,0.29036826
177,3.0,3.0,0.10077053
178,5.0,5.0,0.26578128
179,6.0,6.0,0.09286191
180,1.0,1.0,0.46637046
181,4.0,4.0,0.10801002
182,2.0,2.0,0.1231286
183,5.0,5.0,0.10646307
184,2.0,7.0,0.17358394
185,0.0,0.0,0.27750728
186,6.0,6.0,0.14735456
187,2.0,2.0,0.09634017
188,5.0,5.0,0.54093295
189,7.0,7.0,0.19705881
190,2.0,2.0,0.29005578
191,8.0,8.0,0.5592444
192,0.0,0.0,0.12458568
193,3.0,3.0,0.29538265
194,6.0,7.0,0.528724
195,7.0,4.0,0.4130645
196,4.0,4.0,0.12268138
197,6.0,6.0,1.0176814
198,2.0,2.0,0.2620511
199,3.0,2.0,0.2536346
200,8.0,8.0,0.44535267
201,3.0,3.0,0.06161695
202,8.0,9.0,0.100881964
203,3.0,9.0,0.28172585
204,2.0,2.0,0.4901667
205,4.0,4.0,0.113273285
206,0.0,0.0,0.3748205
207,2.0,2.0,0.11539761
208,4.0,4.0,0.19452915
209,8.0,9.0,0.1709795
210,3.0,3.0,0.23851536
211,7.0,7.0,0.02890492
212,2.0,2.0,0.14534655
213,3.0,3.0,0.47353315
214,4.0,4.0,0.02595311
215,8.0,8.0,0.20226556
216,2.0,2.0,0.34607294
217,6.0,7.0,0.08295329
218,6.0,6.0,0.041180372
219,1.0,1.0,0.38772324
220,6.0,6.0,0.22826554
221,8.0,8.0,0.20506896
222,7.0,9.0,0.3606836
223,8.0,8.0,0.4180177
224,0.0,0.0,0.22242099
225,2.0,2.0,0.5514831
226,3.0,3.0,0.42920613
227,1.0,1.0,0.11813975
228,1.0,1.0,0.013253028
229,3.0,3.0,0.030020785
230,2.0,2.0,0.3275865
231,4.0,4.0,0.06163856
232,4.0,4.0,0.26808307
233,2.0,2.0,0.23221223
234,1.0,1.0,0.20387106
235,8.0,8.0,0.15854345
236,6.0,6.0,0.28031373
237,2.0,8.0,0.2711617
238,7.0,9.0,0.2677893
239,7.0,7.0,0.35395607
240,5.0,5.0,0.07948151
241,2.0,2.0,0.014491215
242,6.0,5.0,0.105381794
243,1.0,1.0,0.058305193
244,8.0,9.0,0.18244913
245,1.0,1.0,0.006219431
246,6.0,6.0,0.1549118
247,1.0,1.0,0.16352247
248,4.0,4.0,0.49892348
249,1.0,1.0,0.50527185
250,5.0,8.0,0.32073405
251,0.0,0.0,0.080615714
252,2.0,2.0,0.28520194
253,8.0,8.0,0.011557489
254,3.0,3.0,0.318433
255,6.0,6.0,0.09101478
256,0.0,0.0,0.38042334
257,3.0,3.0,0.027063042
258,8.0,8.0,0.21472967
259,2.0,7.0,0.30374837
260,1.0,1.0,0.18831351
261,7.0,7.0,0.12712748
262,1.0,1.0,0.090548754
263,2.0,2.0,0.15232535
264,1.0,1.0,0.18795228
265,7.0,7.0,0.24234633
266,8.0,8.0,0.34222457
267,5.0,5.0,0.35652146
268,3.0,3.0,0.1940197
269,7.0,9.0,0.053341173
270,4.0,4.0,0.35682788
271,7.0,7.0,0.6603065
272,4.0,4.0,0.21446142
273,1.0,1.0,0.12664928
274,3.0,3.0,0.08262007
275,6.0,6.0,0.24244583
276,5.0,5.0,0.17989564
277,1.0,9.0,0.09159289
278,4.0,4.0,0.33444422
279,2.0,2.0,0.09171268
280,8.0,8.0,0.21983068
281,0.0,0.0,0.02285389
