predicted,targets,R_mean,R_min,R_max
0.0,0.0,0.124495775,0.052282393,0.12453921
1.0,1.0,0.2031973,0.16819948,0.25679374
2.0,8.0,0.26729527,0.17689233,0.31601438
5.0,5.0,0.42786846,0.37165156,0.512828
7.0,9.0,0.5206229,0.45804706,0.5972323
2.0,2.0,0.056749854,0.048529223,0.1488882
2.0,2.0,0.29945964,0.25090447,0.31507546
6.0,6.0,0.05225996,0.036916852,0.07401749
2.0,2.0,0.41068313,0.37887043,0.48155785
6.0,6.0,0.539215,0.48874873,0.5950484
7.0,9.0,0.23492214,0.20292833,0.23749346
6.0,8.0,0.48543674,0.39078367,0.55512136
8.0,8.0,0.7756803,0.72435987,0.7771021
3.0,1.0,0.50807977,0.4609557,0.5376951
2.0,2.0,0.15647258,0.14361154,0.24879293
7.0,7.0,0.19105318,0.10884521,0.2589248
1.0,1.0,0.5017368,0.4526171,0.53155327
2.0,2.0,0.25870302,0.19901784,0.33763972
9.0,9.0,0.33756673,0.3278853,0.43560928
1.0,1.0,0.21313134,0.17602482,0.27700394
4.0,4.0,0.1179534,0.10617207,0.21760812
8.0,9.0,0.006316905,0.0038149974,0.02631915
0.0,0.0,0.12530544,0.048779495,0.17808922
2.0,2.0,0.032621622,0.030018717,0.1095944
0.0,0.0,0.13293813,0.044951797,0.2082367
2.0,7.0,0.59167945,0.5681364,0.6837645
1.0,1.0,0.123938374,0.10631242,0.20728217
2.0,2.0,0.13120066,0.08754709,0.18553822
6.0,6.0,0.7311894,0.7100075,0.7971116
5.0,5.0,0.21494965,0.1669969,0.25622413
4.0,4.0,0.116198815,0.098876715,0.16675511
4.0,4.0,0.84987473,0.84206927,0.8792054
5.0,5.0,0.256905,0.16447616,0.35455665
7.0,7.0,0.059192404,0.0007976812,0.08651293
6.0,8.0,0.17405981,0.15901908,0.18149161
5.0,5.0,0.5259646,0.48788407,0.6060058
9.0,9.0,0.7747596,0.7025222,0.79717463
2.0,2.0,0.21711229,0.19884743,0.24434175
3.0,3.0,0.53707546,0.49210787,0.54969233
6.0,6.0,0.6821225,0.6784741,0.7133723
3.0,3.0,0.11852619,0.087751426,0.21378574
6.0,6.0,0.11369521,0.08716671,0.20990846
9.0,9.0,0.23691398,0.15553233,0.24045414
0.0,0.0,0.54245734,0.459776,0.55602145
1.0,1.0,0.2988991,0.21852762,0.3138267
7.0,7.0,0.14886394,0.063330114,0.23249516
4.0,4.0,0.49165797,0.41408205,0.5569315
1.0,1.0,0.32745814,0.30522808,0.3379494
4.0,4.0,0.82627016,0.782922,0.9036131
4.0,4.0,0.433451,0.35633224,0.52331346
7.0,7.0,0.98480844,0.9570158,1.0291336
5.0,9.0,0.12925331,0.077897936,0.2010121
1.0,1.0,0.84374225,0.75339097,0.8815947
3.0,1.0,0.73275536,0.6566194,0.79062074
4.0,4.0,0.4112969,0.33558917,0.4337652
7.0,7.0,1.1335934,1.0846162,1.186264
5.0,5.0,0.34511077,0.33233997,0.37528846
7.0,7.0,0.13788345,0.11263187,0.18366319
5.0,8.0,0.6352168,0.58226544,0.7321778
1.0,0.0,0.15354858,0.058100007,0.23547697
9.0,9.0,1.0116556,0.9780631,1.0381471
7.0,7.0,0.4692974,0.3776727,0.56278044
2.0,2.0,0.15138285,0.12693554,0.24365404
0.0,0.0,0.85986364,0.8326996,0.88294154
6.0,6.0,1.3256416,1.2754061,1.3579266
6.0,6.0,0.00082212425,0.003965388,0.09676996
0.0,0.0,0.12843947,0.03913396,0.1759752
3.0,3.0,0.50505877,0.46148857,0.53766686
5.0,5.0,0.0051544104,0.0049715093,0.0073117884
6.0,4.0,0.09132531,0.07179111,0.13486607
6.0,6.0,0.4759159,0.40560076,0.5203609
5.0,5.0,0.1994402,0.13355257,0.29423878
1.0,1.0,0.22782809,0.1651712,0.25672182
5.0,5.0,0.49916917,0.44198456,0.598439
3.0,3.0,0.2642168,0.21532477,0.35788268
0.0,0.0,0.82559615,0.7470558,0.83772016
0.0,0.0,0.9593055,0.9235232,1.0054487
0.0,0.0,0.6281944,0.5578106,0.66287595
8.0,8.0,0.3549051,0.33636197,0.36542267
1.0,1.0,0.16469662,0.12305045,0.23656541
2.0,7.0,0.48273286,0.43699116,0.5589551
3.0,3.0,0.18328917,0.11007519,0.25528604
7.0,7.0,0.07987164,0.034003664,0.15827549
0.0,0.0,0.21727966,0.19956248,0.27114692
5.0,5.0,0.17343672,0.15096833,0.22984599
2.0,2.0,0.4235439,0.41245767,0.51717556
1.0,1.0,0.0736196,0.00473548,0.10546111
0.0,0.0,0.39175704,0.33439493,0.48054293
5.0,5.0,0.6677098,0.64224136,0.67409986
2.0,2.0,0.053491607,0.017105121,0.10287903
5.0,5.0,0.94726896,0.937154,0.9714809
6.0,6.0,0.40633765,0.3526513,0.4814536
5.0,5.0,1.0810981,1.0590414,1.1604087
5.0,5.0,0.98405385,0.9269304,1.026911
1.0,9.0,0.1455046,0.13675115,0.15352583
